Num of neighbors (K),Num processors,Num of points,Speed-Up,Efficency
10,8,2048,2.136993878141067,0.26712423476763336
10,16,2048,3.7210524011732264,0.23256577507332665
10,32,2048,5.670068707891401,0.1771896471216063
10,64,2048,4.610419548178884,0.07203780544029506
10,2,4096,0.9381664307248107,0.4690832153624053
10,4,4096,1.587335432406756,0.396833858101689
10,8,4096,2.3609173044667147,0.29511466305833933
10,16,4096,4.2254231729774725,0.26408894831109203
10,32,4096,7.051443967331818,0.22035762397911932
10,64,4096,6.882807363576595,0.1075438650558843
10,2,8192,1.2904094789524325,0.6452047394762163
10,4,8192,2.3649231831520803,0.5912307957880201
10,8,8192,4.264219772284439,0.5330274715355549
10,16,8192,4.8184974025836995,0.3011560876614812
10,32,8192,8.378948656004404,0.2618421455001376
10,64,8192,10.662059411796752,0.16659467830932426
10,2,16384,1.3274227999821033,0.6637113999910517
10,4,16384,2.755239315879722,0.6888098289699305
10,8,16384,4.9356368143359575,0.6169546017919947
10,16,16384,7.530484790734558,0.4706552994209099
10,32,16384,10.16924117008766,0.3177887865652394
10,64,16384,17.262662500482197,0.2697291015700343
10,2,32768,1.3663296386891233,0.6831648193445616
10,4,32768,2.900903009959927,0.7252257524899818
10,8,32768,5.265521693126442,0.6581902116408053
10,16,32768,8.41263213589618,0.5257895084935112
10,32,32768,15.279980403416086,0.4774993876067527
10,64,32768,21.095391833290954,0.32961549739517115
10,2,65536,1.324662241441523,0.6623311207207615
10,4,65536,2.9631937126330015,0.7407984281582504
10,8,65536,5.497030731904237,0.6871288414880297
10,16,65536,9.232983498175555,0.5770614686359722
10,32,65536,16.937576695353645,0.5292992717298014
10,64,65536,27.272016789707543,0.42612526233918036
15,2,1024,0.6107317788173791,0.30536588940868953
15,4,1024,1.0945948904310516,0.2736487226077629
15,8,1024,1.7279513408902407,0.2159939176112801
15,16,1024,2.7472527472527473,0.1717032967032967
15,32,1024,3.8008361839604716,0.11877613074876474
15,64,1024,2.0769294674752845,0.03245202292930132
15,2,2048,0.6613951027367059,0.33069755136835294
15,4,2048,1.1530035743110802,0.28825089357777006
15,8,2048,1.9647652105573383,0.2455956513196673
15,16,2048,3.17359568390987,0.19834973024436686
15,32,2048,4.716981132075472,0.1474056603773585
15,64,2048,3.9146604032100214,0.061166568800156584
