2,8,5,5,0.000030
2,16,5,5,0.000050
2,16,10,5,0.000065
2,16,15,5,0.000058
2,32,5,5,0.000169
2,32,10,5,0.000169
2,32,15,5,0.000173
2,32,20,5,0.000187
2,64,5,5,0.000688
2,64,10,5,0.000692
2,64,15,5,0.000692
2,64,20,5,0.000723
2,128,5,5,0.003037
2,128,10,5,0.003045
2,128,15,5,0.003046
2,128,20,5,0.003092
2,256,5,5,0.013455
2,256,10,5,0.013464
2,256,15,5,0.011989
2,256,20,5,0.009231
2,512,5,5,0.048224
2,512,10,5,0.045846
2,512,15,5,0.040397
2,512,20,5,0.040636
2,1024,5,5,0.147131
2,1024,10,5,0.147050
2,1024,15,5,0.147117
2,1024,20,5,0.147962
2,2048,5,5,0.565372
2,2048,10,5,0.560023
2,2048,15,5,0.566633
2,2048,20,5,0.549623
2,4096,5,5,2.270331
2,4096,10,5,2.280358
2,4096,15,5,2.283160
2,4096,20,5,2.314803
2,8192,5,5,9.744877
2,8192,10,5,9.744877
2,8192,15,5,9.664605
2,8192,20,5,9.622002
2,16384,5,5,40.908835
2,16384,10,5,41.022112
2,16384,15,5,40.961620
2,16384,20,5,40.969902
2,32768,5,5,173.810756
2,32768,10,5,174.032505
2,32768,15,5,174.202856
2,32768,20,5,176.439709
2,65536,5,5,736.115841
2,65536,10,5,736.115841
2,65536,15,5,736.115841
2,65536,20,5,736.115841
4,8,5,1,0.000204
4,16,5,1,0.000526
4,16,10,1,0.000395
4,16,15,1,0.000400
4,32,5,1,0.000744
4,32,10,1,0.000422
4,32,15,1,0.000414
4,32,20,1,0.000289
4,64,5,1,0.000737
4,64,10,1,0.000671
4,64,15,1,0.000525
4,64,20,1,0.000732
4,128,5,1,0.001587
4,128,10,1,0.001801
4,128,15,1,0.001663
4,128,20,1,0.001568
4,256,5,1,0.006241
4,256,10,1,0.006227
4,256,15,1,0.006059
4,256,20,1,0.006222
4,512,5,1,0.026034
4,512,10,1,0.025423
4,512,15,1,0.025242
4,512,20,1,0.025202
4,1024,5,1,0.107814
4,1024,10,1,0.108210
4,1024,15,1,0.107573
4,1024,20,1,0.107862
4,2048,5,1,0.401964
4,2048,10,1,0.401964
4,2048,15,1,0.465750
4,2048,20,1,0.360076
4,4096,5,1,1.095684
4,4096,10,1,1.037990
4,4096,15,1,1.111671
4,4096,20,1,1.078174
4,8192,5,1,4.084252
4,8192,10,1,4.096351
4,8192,15,1,4.107219
4,8192,20,1,4.054434
4,16384,5,1,16.872702
4,16384,10,1,16.916845
4,16384,15,1,16.838293
4,16384,20,1,16.820283
4,32768,5,1,71.046763
4,32768,10,1,70.744599
4,32768,15,1,70.990293
4,32768,20,1,70.745823
4,65536,5,1,300.112329
4,65536,10,1,298.277610
4,65536,15,1,300.818823
4,65536,20,1,298.609265
8,8,5,1,0.000260
8,16,5,1,0.000224
8,16,10,1,0.000546
8,16,15,1,0.000596
8,32,5,1,0.000292
8,32,10,1,0.000351
8,32,15,1,0.000277
8,32,20,1,0.000696
8,64,5,1,0.000481
8,64,10,1,0.000372
8,64,15,1,0.000486
8,64,20,1,0.000801
8,128,5,1,0.001307
8,128,10,1,0.001042
8,128,15,1,0.001186
8,128,20,1,0.000971
8,256,5,1,0.003381
8,256,10,1,0.003860
8,256,15,1,0.003654
8,256,20,1,0.003999
8,512,5,1,0.012989
8,512,10,1,0.013026
8,512,15,1,0.013688
8,512,20,1,0.013484
8,1024,5,1,0.054759
8,1024,10,1,0.054601
8,1024,15,1,0.060446
8,1024,20,1,0.059294
8,2048,5,1,0.232802
8,2048,10,1,0.232637
8,2048,15,1,0.235513
8,2048,20,1,0.235895
8,4096,5,1,0.659608
8,4096,10,1,0.673944
8,4096,15,1,0.731128
8,4096,20,1,0.633196
