8,5,5,0.000000
16,5,5,0.000000
16,10,5,0.000000
16,15,5,0.000000
32,5,5,0.000000
32,10,5,0.000000
32,15,5,0.000000
32,20,5,0.000000
64,5,5,0.000000
64,10,5,0.000000
64,15,5,0.000000
64,20,5,0.000000
128,5,5,0.002000
128,10,5,0.002000
128,15,5,0.002000
128,20,5,0.004000
256,5,5,0.010000
256,10,5,0.010000
256,15,5,0.012000
256,20,5,0.014000
512,5,5,0.046000
512,10,5,0.048000
512,15,5,0.050000
512,20,5,0.052000
1024,5,5,0.198000
1024,10,5,0.202000
1024,15,5,0.206000
1024,20,5,0.210000
2048,5,5,0.860000
2048,10,5,0.860000
2048,15,5,0.872000
2048,20,5,0.878000
4096,5,5,3.746000
4096,10,5,3.722000
4096,15,5,3.706000
4096,20,5,3.710000
8192,5,5,15.644000
8192,10,5,15.680000
8192,15,5,15.700000
8192,20,5,15.742000
16384,5,5,66.708000
16384,10,5,66.614000
16384,15,5,66.684000
16384,20,5,66.702000
32768,5,5,281.996000
32768,10,5,282.434000
32768,15,5,283.104000
32768,20,5,282.434000
65536,5,5,1194.392000
65536,10,5,1209.568000
65536,15,5,1193.242000
65536,20,5,1194.256000
