Parallel time taken: 0.004965 seconds
Neighbor 3: Point 72 (Distance: 20.788034)
Neighbor 4: Point 7 (Distance: 21.914135)
Neighbor 5: Point 49 (Distance: 23.977089)
Neighbor 1: Point 6 (Distance: 12.595681)
Neighbor 2: Point 11 (Distance: 16.147284)
Neighbor 3: Point 57 (Distance: 18.897373)
Neighbor 4: Point 42 (Distance: 29.572264)
Neighbor 5: Point 16 (Distance: 33.274406)
Neighbor 1: Point 94 (Distance: 27.868881)
Neighbor 2: Point 48 (Distance: 28.549036)
Neighbor 3: Point 77 (Distance: 29.116201)
Neighbor 4: Point 21 (Distance: 33.002850)
Neighbor 5: Point 24 (Distance: 33.781590)
Neighbor 1: Point 84 (Distance: 12.504694)
Neighbor 2: Point 98 (Distance: 15.960449)
Neighbor 3: Point 69 (Distance: 20.509329)
Neighbor 4: Point 39 (Distance: 20.858162)
Neighbor 5: Point 49 (Distance: 22.491053)
Neighbor 1: Point 38 (Distance: 19.526320)
Neighbor 2: Point 46 (Distance: 19.780157)
Neighbor 3: Point 17 (Distance: 22.165579)
Neighbor 4: Point 3 (Distance: 23.257004)
Neighbor 5: Point 70 (Distance: 25.224747)
Neighbor 1: Point 89 (Distance: 17.555099)
Neighbor 2: Point 91 (Distance: 20.063570)
Neighbor 3: Point 1 (Distance: 21.506493)
Neighbor 4: Point 4 (Distance: 22.524488)
Neighbor 5: Point 73 (Distance: 24.711630)
Neighbor 1: Point 59 (Distance: 14.249836)
Neighbor 2: Point 55 (Distance: 22.559938)
Neighbor 3: Point 35 (Distance: 22.656353)
Neighbor 4: Point 92 (Distance: 28.472416)
Neighbor 5: Point 54 (Distance: 28.958210)
Neighbor 1: Point 49 (Distance: 15.294110)
Neighbor 2: Point 98 (Distance: 17.263823)
Neighbor 3: Point 84 (Distance: 20.803579)
Neighbor 4: Point 69 (Distance: 22.973892)
Neighbor 5: Point 94 (Distance: 23.660730)
Neighbor 1: Point 34 (Distance: 28.008482)
Neighbor 2: Point 51 (Distance: 34.566254)
Neighbor 3: Point 43 (Distance: 36.445724)
Neighbor 4: Point 79 (Distance: 36.681091)
Neighbor 5: Point 67 (Distance: 41.108994)
Neighbor 1: Point 67 (Distance: 18.384605)
Neighbor 2: Point 43 (Distance: 22.330645)
Neighbor 3: Point 51 (Distance: 25.207312)
Neighbor 4: Point 79 (Distance: 27.565001)
Neighbor 5: Point 63 (Distance: 27.635288)
Neighbor 1: Point 59 (Distance: 10.024244)
Neighbor 2: Point 92 (Distance: 18.081223)
Neighbor 3: Point 12 (Distance: 19.221064)
Neighbor 4: Point 65 (Distance: 20.019045)
Neighbor 5: Point 83 (Distance: 22.267282)
Neighbor 1: Point 90 (Distance: 5.814627)
Neighbor 2: Point 14 (Distance: 8.985191)
Neighbor 3: Point 72 (Distance: 19.564966)
Neighbor 4: Point 76 (Distance: 22.849836)
Neighbor 5: Point 73 (Distance: 23.639292)
Neighbor 1: Point 75 (Distance: 10.666129)
Neighbor 2: Point 71 (Distance: 20.425692)
Neighbor 3: Point 64 (Distance: 26.050526)
Neighbor 4: Point 8 (Distance: 26.904301)
